graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","500000","735627.6","8100589","17.3092","49","0.0000024264599999999997","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000000","748959.6","8600583.4","12.806000000000001","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000000","748959.6","8600583.4","16.2298","44.8","0.0000012455840000000002","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000000","748959.6","8600583.4","12.934999999999999","0","7.0401e-7","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1000000","748959.6","8600583.4","16.0046","44.6","0.0000017587599999999997","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000000","753753.8","12600522.6","11.229800000000001","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000000","753753.8","12600522.6","14.0522","31.2","0.0000010091639999999999","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000000","753753.8","12600522.6","11.281","0","2.47038e-7","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5000000","753753.8","12600522.6","13.9542","31.8","0.0000010078819999999998","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1","916428","5105040","19.9786","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1","916428","5105040","12.7324","62","0.0000012765","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1","916428","5105040","2.1226","0","5.388660000000001e-7","pagerankNvgraph [dynamic]"
